dataset,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,alpha,beta,T,h,rho,lr,lam_sparse,epochs,batch_size,k_min,k_max,k_n_init,best_k,modularity,time_seconds,rank_ascending,rank_descending,rank_pct,modularity_minmax,relative_gap_to_best,score_sigmoid_01,score_sigmoid_signed,label_top_q,label_bottom_q,score_extreme_01,score_extreme_signed,run_name,is_best_for_dataset,source_score_file,pred_score,pred_rank_desc
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.01,0.0001,600,16,2,14,10,5,0.4435142772159479,83.67970935301855,435.0,286.0,0.6036161335187761,0.8094412511435558,0.1905587488537704,0.7761541674046964,0.5523083348093929,0,0,0.7761541674046964,0.5523083348093929,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.01_lam0.000100_bs16_ep600,False,lesmis_score.xlsx,0.8479946724789287,15.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.01,0.00033,600,32,2,14,10,4,0.458877900059493,45.48709223279729,531.5,189.5,0.7378303198887344,0.850519819547085,0.1494801804502413,0.9455232173353977,0.8910464346707954,0,0,0.9455232173353977,0.8910464346707954,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,lesmis_score.xlsx,0.8470953782646631,16.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,8,32,0.05,0.01,0.0001,600,32,2,14,10,4,0.4655822427126752,63.57787084905431,575.5,145.5,0.7990264255910987,0.8684455914228992,0.1315544085744269,0.9730988623997309,0.9461977247994617,0,0,0.9730988623997309,0.9461977247994617,full_param_grid_lesmis_a0.9_T08_h032_rho0.050_lr0.01_lam0.000100_bs32_ep600,False,lesmis_score.xlsx,0.8429925826259634,17.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.02,0.00033,600,16,2,14,10,5,0.5042110350981599,78.78270571213216,712.5,8.5,0.9895688456189151,0.9717295307978849,0.02827046919944132,0.9971985874064498,0.9943971748128997,1,0,0.9992996468516124,0.9985992937032249,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.02_lam0.000330_bs16_ep600,False,lesmis_score.xlsx,0.8425238806781757,18.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.01,0.00066,600,32,2,14,10,5,0.4742229327781132,46.97568247001618,622.0,99.0,0.8636995827538247,0.8915486825050863,0.1084513174922399,0.9874374748833703,0.9748749497667406,0,0,0.9874374748833703,0.9748749497667406,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.01_lam0.000660_bs32_ep600,False,lesmis_score.xlsx,0.8392032092013179,19.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.02,0.00066,600,32,2,14,10,6,0.4467987804878091,47.69075477402657,455.0,266.0,0.631432545201669,0.8182232092597337,0.1817767907375926,0.8288062621954203,0.6576125243908406,0,0,0.8288062621954203,0.6576125243908406,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.02_lam0.000660_bs32_ep600,False,lesmis_score.xlsx,0.8355039730501475,20.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,48,0.05,0.02,0.0001,600,16,2,14,10,7,0.4347754312909006,80.32657625619322,390.0,331.0,0.541029207232267,0.7860757153089674,0.2139242846883588,0.6206599904341961,0.2413199808683921,0,0,0.6206599904341961,0.2413199808683921,full_param_grid_lesmis_a0.9_T06_h048_rho0.050_lr0.02_lam0.000100_bs16_ep600,False,lesmis_score.xlsx,0.8334469695929629,21.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,48,0.05,0.01,0.0001,600,16,2,14,10,7,0.4732852468768605,81.90282021695748,618.0,103.0,0.8581363004172462,0.8890415398325611,0.1109584601647651,0.9865818179767428,0.9731636359534857,0,0,0.9865818179767428,0.9731636359534857,full_param_grid_lesmis_a0.9_T06_h048_rho0.050_lr0.01_lam0.000100_bs16_ep600,False,lesmis_score.xlsx,0.8294319218590829,22.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,8,32,0.05,0.01,0.00066,600,16,2,14,10,6,0.4121415823914349,108.6773390029557,280.0,441.0,0.388038942976356,0.7255583412676957,0.2744416587296304,0.206929710184389,-0.5861405796312219,0,0,0.206929710184389,-0.5861405796312219,full_param_grid_lesmis_a0.9_T08_h032_rho0.050_lr0.01_lam0.000660_bs16_ep600,False,lesmis_score.xlsx,0.8279194332799606,23.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,16,0.05,0.01,0.00033,600,16,2,14,10,4,0.458877900059493,83.08260743506253,531.5,189.5,0.7378303198887344,0.850519819547085,0.1494801804502413,0.9455232173353977,0.8910464346707954,0,0,0.9455232173353977,0.8910464346707954,full_param_grid_lesmis_a0.9_T06_h016_rho0.050_lr0.01_lam0.000330_bs16_ep600,False,lesmis_score.xlsx,0.825357403223037,24.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,48,0.05,0.02,0.00033,600,16,2,14,10,6,0.4343441403926273,80.8851418546401,387.0,334.0,0.5368567454798331,0.7849225489726833,0.2150774510246428,0.6088024000498876,0.2176048000997752,0,0,0.6088024000498876,0.2176048000997752,full_param_grid_lesmis_a0.9_T06_h048_rho0.050_lr0.02_lam0.000330_bs16_ep600,False,lesmis_score.xlsx,0.8253134739789405,25.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,8,16,0.05,0.02,0.00033,600,32,2,14,10,7,0.4677000297442038,64.99327967083082,585.0,136.0,0.8122392211404729,0.8741080357776373,0.1258919642196888,0.9769522731410797,0.9539045462821594,0,0,0.9769522731410797,0.9539045462821594,full_param_grid_lesmis_a0.9_T08_h016_rho0.050_lr0.02_lam0.000330_bs32_ep600,False,lesmis_score.xlsx,0.8239678882678281,26.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.02,0.0001,600,32,2,14,10,5,0.4736072278405757,46.16131645673886,620.0,101.0,0.8609179415855355,0.889902438149143,0.1100975618481831,0.9870166007626833,0.9740332015253665,0,0,0.9870166007626833,0.9740332015253665,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.02_lam0.000100_bs32_ep600,False,lesmis_score.xlsx,0.8180225480428692,27.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,8,16,0.05,0.01,0.00033,600,16,2,14,10,8,0.4326041046995848,113.1685775779188,373.0,348.0,0.5173852573018081,0.7802701192711003,0.2197298807262258,0.5519674244045626,0.1039348488091252,0,0,0.5519674244045626,0.1039348488091252,full_param_grid_lesmis_a0.9_T08_h016_rho0.050_lr0.01_lam0.000330_bs16_ep600,False,lesmis_score.xlsx,0.8171024442023178,28.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.7,0.3,6,48,0.05,0.01,0.00033,600,32,2,14,10,6,0.4584815585960748,46.06878539780155,530.0,191.0,0.7357440890125174,0.8494600994483831,0.1505399005489431,0.9442192236866707,0.8884384473733413,0,0,0.9442192236866707,0.8884384473733413,full_param_grid_lesmis_a0.7_T06_h048_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,lesmis_score.xlsx,0.814981305124446,29.0
lesmis,-1.157741977,-0.159477512,-0.86453328,1.59276562,1.197469404,0.867833185,-0.512278099,-0.693074904,-0.097810379,0.585623471,0.428595702,0.005737441,0.530834137,0.467069088,-0.214892,-0.183174136,0.079523444,0.245070302,-0.051561129,-0.041617329,0.217391468,-0.032149446,0.006879155,0.043897816,-0.019829432,0.038679744,-0.018655582,-0.001819148,0.00750187,-0.002781681,-0.000652748,0.002331818,1.77e-05,-1.54e-18,0.9,0.09999999999999998,6,32,0.05,0.02,0.0001,600,16,2,14,10,10,0.4109019928613931,80.86709499778226,274.0,447.0,0.3796940194714882,0.7222439821597778,0.2777560178375483,0.1909773983948284,-0.6180452032103432,0,0,0.1909773983948284,-0.6180452032103432,full_param_grid_lesmis_a0.9_T06_h032_rho0.050_lr0.02_lam0.000100_bs16_ep600,False,lesmis_score.xlsx,0.8121848560115905,30.0
