dataset,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,alpha,beta,T,h,rho,lr,lam_sparse,epochs,batch_size,k_min,k_max,k_n_init,best_k,modularity,time_seconds,rank_ascending,rank_descending,rank_pct,modularity_minmax,relative_gap_to_best,score_sigmoid_01,score_sigmoid_signed,label_top_q,label_bottom_q,score_extreme_01,score_extreme_signed,run_name,is_best_for_dataset,source_score_file,pred_score,pred_rank_desc
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,32,0.05,0.01,0.0001,600,16,2,14,10,10,0.5952473461089065,111.305651281029,711.0,10.0,0.9874826147426982,0.9976299291260994,0.002370070871736385,0.9971277734145589,0.9942555468291179,1,0,0.9992819433536397,0.9985638867072795,full_param_grid_football_a0.9_T06_h032_rho0.050_lr0.01_lam0.000100_bs16_ep600,False,football_score.xlsx,0.8126105722603058,11.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,8,16,0.05,0.01,0.0001,600,32,2,14,10,10,0.5943185840236891,79.40968588227406,702.5,18.5,0.9756606397774688,0.9956198325665938,0.004380167431241942,0.9966914383285934,0.9933828766571868,1,0,0.9991728595821483,0.9983457191642967,full_param_grid_football_a0.9_T08_h016_rho0.050_lr0.01_lam0.000100_bs32_ep600,False,football_score.xlsx,0.8124412042487351,12.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,32,0.05,0.01,0.00033,600,32,2,14,10,11,0.5925235982744662,56.88573215110227,675.0,46.0,0.9374130737134909,0.9917349897889843,0.008265010208851434,0.9947744547407229,0.9895489094814458,0,0,0.9947744547407229,0.9895489094814458,full_param_grid_football_a0.7_T06_h032_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,football_score.xlsx,0.8091098470747485,13.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,48,0.05,0.01,0.0001,600,32,2,14,10,10,0.5829898155515697,64.28997866390273,342.0,379.0,0.4742698191933241,0.971101262211828,0.02889873778600775,0.4234169079269806,-0.1531661841460389,0,0,0.4234169079269806,-0.1531661841460389,full_param_grid_football_a0.9_T06_h048_rho0.050_lr0.01_lam0.000100_bs32_ep600,False,football_score.xlsx,0.8061525627180948,14.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,32,0.05,0.01,0.00066,600,16,2,14,10,9,0.5961149003776189,105.3810769771226,717.0,4.0,0.9958275382475661,0.9995075551387019,0.0004924448591338174,0.997400751959354,0.9948015039187079,1,0,0.9993501879898385,0.998700375979677,full_param_grid_football_a0.7_T06_h032_rho0.050_lr0.01_lam0.000660_bs16_ep600,False,football_score.xlsx,0.8018015069052263,15.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,8,16,0.05,0.01,0.00033,600,32,2,14,10,10,0.5899701678424717,83.91663520876318,575.0,146.0,0.7983310152990264,0.9862086641475931,0.01379133585024264,0.9728795488737529,0.9457590977475059,0,0,0.9728795488737529,0.9457590977475059,full_param_grid_football_a0.9_T08_h016_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,football_score.xlsx,0.7932228504232237,16.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,32,0.05,0.02,0.00033,600,32,2,14,10,12,0.5903281005085511,64.38089518528432,607.5,113.5,0.8435326842837274,0.986983328867517,0.01301667113031873,0.984052736011916,0.968105472023832,0,0,0.984052736011916,0.968105472023832,full_param_grid_football_a0.9_T06_h032_rho0.050_lr0.02_lam0.000330_bs32_ep600,False,football_score.xlsx,0.7902536082016655,17.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,48,0.05,0.01,0.00033,600,16,2,14,10,11,0.5922894118461017,107.5704212691635,661.0,60.0,0.9179415855354659,0.9912281459573608,0.008771854040475051,0.993408094057672,0.9868161881153441,0,0,0.993408094057672,0.9868161881153441,full_param_grid_football_a0.7_T06_h048_rho0.050_lr0.01_lam0.000330_bs16_ep600,False,football_score.xlsx,0.7886919091142836,18.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,48,0.05,0.01,0.00066,600,16,2,14,10,9,0.5953178681583564,107.3100766870193,713.5,7.5,0.9909596662030598,0.9977825582344844,0.002217441763351375,0.9972448267980014,0.9944896535960028,1,0,0.9993112066995004,0.9986224133990007,full_param_grid_football_a0.7_T06_h048_rho0.050_lr0.01_lam0.000660_bs16_ep600,False,football_score.xlsx,0.7885813742299468,19.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,48,0.05,0.01,0.00033,600,32,2,14,10,11,0.5880394604131738,58.07636384107172,522.0,199.0,0.7246175243393602,0.9820300823312014,0.01796991766663435,0.9367552719289265,0.873510543857853,0,0,0.9367552719289265,0.873510543857853,full_param_grid_football_a0.7_T06_h048_rho0.050_lr0.01_lam0.000330_bs32_ep600,False,football_score.xlsx,0.7871882898727978,20.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,48,0.05,0.01,0.00066,600,32,2,14,10,11,0.5932793817478226,59.64696309622377,687.0,34.0,0.9541029207232267,0.9933707130637659,0.006629286934069868,0.9957188149387883,0.9914376298775767,1,0,0.9989297037346971,0.9978594074693942,full_param_grid_football_a0.7_T06_h048_rho0.050_lr0.01_lam0.000660_bs32_ep600,False,football_score.xlsx,0.7853157795975514,21.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,16,0.05,0.02,0.00066,600,32,2,14,10,11,0.5890387445478409,56.79091564798728,552.0,169.0,0.7663421418636995,0.9841928079990915,0.01580719199874426,0.9606874646062336,0.9213749292124671,0,0,0.9606874646062336,0.9213749292124671,full_param_grid_football_a0.9_T06_h016_rho0.050_lr0.02_lam0.000660_bs32_ep600,False,football_score.xlsx,0.7810186542442439,22.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,10,16,0.05,0.01,0.0001,600,32,2,14,10,12,0.5900021023554306,100.9213109910488,586.5,134.5,0.8143254520166898,0.986277779215542,0.01372222078229371,0.9775092891999483,0.9550185783998966,0,0,0.9775092891999483,0.9550185783998966,full_param_grid_football_a0.9_T10_h016_rho0.050_lr0.01_lam0.000100_bs32_ep600,False,football_score.xlsx,0.7793925307936687,23.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,16,0.05,0.01,0.00033,600,16,2,14,10,10,0.5882190920485669,107.2481961050071,528.0,193.0,0.7329624478442281,0.9824188545884126,0.0175811454094232,0.9424348462967168,0.8848696925934336,0,0,0.9424348462967168,0.8848696925934336,full_param_grid_football_a0.7_T06_h016_rho0.050_lr0.01_lam0.000330_bs16_ep600,False,football_score.xlsx,0.7726987841964241,24.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.7,0.3,6,48,0.05,0.01,0.0001,600,16,2,14,10,10,0.5876416096058957,107.3883340079337,510.0,211.0,0.7079276773296245,0.9811690237763414,0.01883097622149441,0.923799858695479,0.847599717390958,0,0,0.923799858695479,0.847599717390958,full_param_grid_football_a0.7_T06_h048_rho0.050_lr0.01_lam0.000100_bs16_ep600,False,football_score.xlsx,0.7673235097381003,25.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,32,0.05,0.01,0.00033,600,16,2,14,10,10,0.5919900257871133,110.6120639750734,653.0,68.0,0.9068150208623088,0.9905801921953425,0.009419807802493232,0.9924735751815429,0.9849471503630858,0,0,0.9924735751815429,0.9849471503630858,full_param_grid_football_a0.9_T06_h032_rho0.050_lr0.01_lam0.000330_bs16_ep600,False,football_score.xlsx,0.7655385072120252,26.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,8,32,0.05,0.02,0.0001,600,32,2,14,10,11,0.5885304535499146,80.43985971435905,537.0,184.0,0.7454798331015299,0.983092726500911,0.01690727349692477,0.9500626161820441,0.9001252323640883,0,0,0.9500626161820441,0.9001252323640883,full_param_grid_football_a0.9_T08_h032_rho0.050_lr0.02_lam0.000100_bs32_ep600,False,football_score.xlsx,0.7636106432834506,27.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,8,16,0.05,0.02,0.00033,600,32,2,14,10,10,0.584708956832516,79.99314530706033,388.0,333.0,0.5382475660639777,0.9748219567030606,0.02517804329477515,0.6127699911951873,0.2255399823903745,0,0,0.6127699911951873,0.2255399823903745,full_param_grid_football_a0.9_T08_h016_rho0.050_lr0.02_lam0.000330_bs32_ep600,False,football_score.xlsx,0.7631447268747727,28.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,32,0.05,0.02,0.00066,600,16,2,14,10,10,0.5772575704754722,112.8869550083764,240.0,481.0,0.3324061196105703,0.9586951075150534,0.04130489248278236,0.1180396448676487,-0.7639207102647027,0,0,0.1180396448676487,-0.7639207102647027,full_param_grid_football_a0.9_T06_h032_rho0.050_lr0.02_lam0.000660_bs16_ep600,False,football_score.xlsx,0.7619672448436873,29.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,16,0.05,0.02,0.00066,600,16,2,14,10,12,0.5860874633085694,112.8630315707996,445.5,275.5,0.6182197496522949,0.9778054238028426,0.02219457619499313,0.8051246514238743,0.6102493028477487,0,0,0.8051246514238743,0.6102493028477487,full_param_grid_football_a0.9_T06_h016_rho0.050_lr0.02_lam0.000660_bs16_ep600,False,football_score.xlsx,0.7615817860328338,30.0
football,-0.683771927,0.050963675,-1.115338092,-0.316199681,-1.089199103,1.174524898,0.919392606,2.574165618,-0.550626139,2.020255807,0.11276355,-0.401540622,0.745302001,1.049509811,0.162099816,-0.053871999,0.215683304,-0.159896951,-0.167636334,0.007956357,-0.146473546,0.085910568,0.081705355,0.012791958,-0.017719026,-0.012091351,8.11e-05,0.002488994,-0.000150827,-0.000281052,9.8e-05,4.15e-05,-1.36e-07,3.19e-17,0.9,0.09999999999999998,6,16,0.05,0.02,0.00033,600,16,2,14,10,11,0.588237720514459,109.5892040203325,530.0,191.0,0.7357440890125174,0.9824591717113814,0.01754082828645435,0.9442192236866707,0.8884384473733413,0,0,0.9442192236866707,0.8884384473733413,full_param_grid_football_a0.9_T06_h016_rho0.050_lr0.02_lam0.000330_bs16_ep600,False,football_score.xlsx,0.7606434850515501,31.0
